2018-12-17 18:57:34.134070
0,0.1,106.8
11,0.3,209.9
21,0.7,280.2
32,1.0,352.5
44,1.0,428.4
55,1.2,510.8
66,1.6,604.1
77,1.6,699.3
89,1.7,807.7
100,1.9,898.6
111,2.2,993.0
122,2.6,1071.9
134,2.9,1157.8
145,3.0,1237.1
156,3.2,1329.2
169,3.4,1424.7
187,3.7,1422.7
203,3.7,1422.7
220,3.3,1440.6
236,3.3,1467.2
253,3.5,1489.2
270,3.5,1483.1
286,3.4,1471.9
303,3.5,1459.0
320,3.7,1437.8
336,3.7,1446.1
353,3.4,1429.0
369,3.3,1442.0
387,3.2,1465.9
403,3.5,1483.1
419,3.5,1479.8
436,3.4,1482.4
453,3.4,1468.6
470,3.5,1461.3
486,3.8,1472.1
502,3.6,1471.2
520,3.7,1459.6
536,3.7,1476.2
552,3.7,1490.0
569,4.0,1491.7
586,3.8,1484.4
603,3.8,1482.0
619,3.8,1475.7
635,3.7,1464.7
653,3.8,1455.2
669,3.5,1457.4
686,3.4,1449.8
702,3.5,1444.8
719,3.6,1428.5
736,3.4,1440.9
752,3.3,1440.7
769,3.3,1442.7
786,3.4,1437.4
802,3.4,1443.5
819,3.2,1457.4
835,2.9,1448.1
852,2.8,1445.2
869,2.9,1453.3
885,3.0,1473.4
902,3.0,1490.6
919,2.8,1488.9
935,2.8,1463.2
952,2.9,1475.9
968,2.8,1471.1
986,2.7,1486.1
1002,2.6,1460.6
1019,2.5,1436.2
1037,2.8,1432.8
1055,2.7,1437.0
1073,2.6,1428.1
1090,2.8,1421.7
1108,3.0,1451.2
1126,3.3,1449.0
1143,3.3,1421.4
1161,3.3,1435.3
1179,3.5,1425.9
1197,3.5,1425.9
1214,3.5,1453.5
1231,3.4,1456.0
1250,3.4,1452.7
1267,3.2,1471.5
1285,3.4,1470.9
1302,3.4,1480.5
1320,3.2,1480.9
1338,3.0,1491.3
1355,3.3,1493.4
1374,3.0,1484.9
1391,3.0,1455.4
1409,3.2,1484.7
1426,3.2,1479.7
1444,2.8,1445.7
1462,2.9,1428.3
1479,3.2,1401.3
1497,3.5,1386.8
1515,3.5,1382.8
1532,3.6,1398.3
1550,3.8,1366.4
1567,3.6,1365.9
